step,leg,target_swing_x_m,target_swing_y_m,target_body_advance_x_m,target_body_advance_y_m,actual_swing_x_m,actual_swing_y_m,body_displacement_x_m,body_displacement_y_m,swing_clearance_mean_mm,swing_clearance_max_mm,swing_force_mean,swing_force_max,swing_zero_force_fraction,landing_force_mean,max_abs_roll_deg,max_abs_pitch_deg,max_support_drift_mm,max_abs_q_error_rad,max_abs_tau_est
1,FR,0.06,0.0,0.024999999999999998,0.0,0.0511592501587301,0.0019774485873016168,0.005842133277777779,0.007220226206349205,19.35918140940941,19.575024,0.0,0.0,1.0,2.5,1.1409273051056785,1.1857253281209108,10.580038709251875,0.10798502,10.898703575
2,RL,0.06,0.0,0.02772129699999998,-0.005729258999999999,0.050104674452380926,-0.014577202515872995,0.03818672198412698,-0.013037370309523809,24.608687921999998,24.850249,0.0,0.0,1.0,4.063745019920319,1.1690652051287738,0.8143441693743054,8.213886097840959,0.071370959,6.91807127
3,FL,0.06,0.0,0.016732268000000015,0.005739259999999999,0.04588462153174597,-0.0028708184285714256,0.008350047825396832,0.0026557042142857147,17.062196422,17.461729,0.0,0.0,1.0,3.284,1.4719885643722352,0.5567011490180174,7.5402262781966405,0.095529079,9.540501595
4,RR,0.06,0.0,0.03159321799999995,0.0025077179999999995,0.05516763004761904,0.00701265919841268,0.04050661826984126,0.00702420169047619,22.272719078999998,22.364285000000002,0.0,0.0,1.0,4.4,1.3403389058694355,0.8709650046047236,6.007363732913779,0.075914383,7.541395664
5,FR,0.06,0.0,0.017931778000000106,-0.003505266,0.057660932000000054,0.0005791311746032035,0.008412622547619049,-0.0003462319047619054,26.218535000000003,26.456307,0.0,0.0,1.0,3.176,0.8035527384861343,0.9238384666718682,9.52877572680052,0.091360569,9.145540237
6,RL,0.06,0.0,0.03254926699999992,-0.0025766010000000004,0.059619622087301594,-0.003273376555555596,0.045757730238095234,-0.004150551198412698,29.304464342,29.663491999999998,0.0,0.0,1.0,4.059760956175299,0.7014157922358465,0.8522123251532098,7.509730287352458,0.071951807,7.118153572
7,FL,0.06,0.0,0.014557001999999958,0.0011600049999999991,0.055138879714285716,-0.006848730341269843,0.006613277007936499,-0.00297410330952381,19.182572023000002,19.626936,0.0,0.0,1.0,3.960159362549801,1.5957094610186757,0.7844833852612517,9.85051710752877,0.078374863,7.837870598
8,RR,0.06,0.0,0.0412288960000001,0.0033580830000000017,0.07117268703968259,0.005478231777777787,0.0394708411031746,0.003182675063492064,24.704072158000002,25.040595999999997,0.0,0.0,1.0,4.705179282868526,1.7156292410606595,1.2892784541534235,2.06327509968151,0.0793401,7.876574039
