scenario,run,transition_s,transition_endpoint_s,from_mps,to_mps,offset_s,row_t_rel_s,alignment_abs_error_s,t_rel_s,cmd_time_s,cycle_index,requested_mps,shaped_mps,applied_mps,measured_mps,period_s,duty,schedule_step_m,foot_lift_m,planner_semantic_speed_mps,stance_kinematic_speed_mps,measured_minus_applied_mps,measured_minus_planner_semantic_mps,measured_minus_stance_kinematic_mps,shaped_minus_applied_mps,measured_minus_shaped_mps,tracking_lead_mps,overspeed_mps,kernel_velocity_error_mps,touchdown_target_fr_m,touchdown_target_fl_m,touchdown_target_rr_m,touchdown_target_rl_m,kernel_footstep_plan_valid,wbc_full_velocity_target_mps,wbc_full_requested_acc_mps2,wbc_full_srbd_acc_mps2,wbc_full_id_contact_force_n,wbc_full_srbd_ok,wbc_full_id_ok,wbc_shadow_solver_ok
steps,steps_20260913_130640,40.0,48.0,2.0,3.0,1.0,41.000001794999996,1.7949999957522778e-06,41.000001794999996,45.300076475,292.0,2.125000224,2.125000224,2.032828298,2.41717215,0.14,0.44,0.323404502,0.151041746,2.0328282982857138,2.3100321571428566,0.38434385199999976,0.3843438517142861,0.10713999285714326,0.0921719259999998,0.29217192599999997,0.2,0.29217192599999997,0.355040787,0.073227721,0.075822397,0.075822397,0.073227721,1.0,2.032828298,-3.843438518,-1.888957555,9.472133205,1.0,1.0,1.0
varying,varying_20260913_130859,8.0,16.0,0.6,1.4,0.0,7.999996809,3.191000000235533e-06,7.999996809,12.300069651,57.0,0.6,0.6,0.6,0.584660403,0.14,0.44,0.095454545,0.0208,0.5999999971428571,0.6818181785714286,-0.015339596999999983,-0.015339594142857127,-0.09715777557142857,0.0,-0.015339596999999983,0.2,-0.015339596999999983,-0.015339597,0.014318582,0.013868703,0.013868703,0.014318582,1.0,0.0,1.47778165,1.47778165,8.598051812,1.0,1.0,1.0
varying,varying_20260913_130859,8.0,16.0,0.6,1.4,0.25,8.250001274999999,1.2749999989125627e-06,8.250001274999999,12.550074117,58.0,0.625000128,0.625000128,0.625000128,0.588723826,0.14,0.44,0.099431838,0.022424777,0.6250001245714285,0.7102274142857142,-0.036276302000000094,-0.036276298571428556,-0.12150358828571428,0.0,-0.036276302000000094,0.2,-0.036276302000000094,-0.023476276,0.010922369,0.011553071,0.011553071,0.010922369,1.0,0.0,-0.205807544,-0.205807544,-4.96897954,1.0,1.0,1.0
varying,varying_20260913_130859,8.0,16.0,0.6,1.4,0.5,8.500003987,3.986999999483487e-06,8.500003987,12.800076829,60.0,0.650000399,0.650000399,0.650000399,0.597796691,0.14,0.44,0.103409154,0.024098175,0.6500003965714285,0.7386368142857143,-0.05220370799999996,-0.052203705571428505,-0.14084012328571427,0.0,-0.05220370799999996,0.2,-0.05220370799999996,-0.042404053,0.014863544,0.013245166,0.013245166,0.014863544,1.0,0.0,2.074843384,2.074843384,15.462497537,1.0,1.0,1.0
varying,varying_20260913_130859,8.0,16.0,0.6,1.4,1.0,8.999998477000002,1.5229999981158926e-06,8.999998477000002,13.300071319,64.0,0.699999848,0.699999848,0.699999848,0.668998877,0.14,0.44,0.111363612,0.027585174,0.6999998468571428,0.7954543714285713,-0.03100097099999999,-0.031000969857142735,-0.1264554944285713,0.0,-0.03100097099999999,0.2,-0.03100097099999999,-0.027001144,0.015232665,0.014108357,0.014108357,0.015232665,1.0,0.0,0.868978485,0.868978485,11.769956643,1.0,1.0,1.0
varying,varying_20260913_130859,24.0,32.0,1.4,2.3,0.0,24.000001773,1.773000001037417e-06,24.000001773,28.300074615,171.0,1.400000199,1.400000199,1.352243959,1.64775644,0.14,0.44,0.215129721,0.085272185,1.3522439605714285,1.5366408642857141,0.29551248100000005,0.2955124794285715,0.11111557571428587,0.047756240000000005,0.24775624100000004,0.2,0.24775624100000004,0.281947683,0.053552787,0.052297756,0.052297756,0.053552787,1.0,1.352243959,-2.955124813,-2.545182269,14.349189799,1.0,1.0,1.0
varying,varying_20260913_130859,24.0,32.0,1.4,2.3,0.25,24.250007128,7.128000000022894e-06,24.250007128,28.55007997,173.0,1.428125802,1.428125802,1.392742952,1.663508652,0.14,0.44,0.221572742,0.089292575,1.3927429497142854,1.5826624428571425,0.2707656999999999,0.2707657022857146,0.08084620914285745,0.035382849999999966,0.23538284999999992,0.2,0.23538284999999992,0.250166845,0.051573228,0.052018842,0.052018842,0.051573228,1.0,1.392742952,-2.707656996,-2.400709237,-2.088259267,1.0,1.0,1.0
varying,varying_20260913_130859,24.0,32.0,1.4,2.3,0.5,24.500003835,3.835000001117805e-06,24.500003835,28.800076677,175.0,1.456250431,1.456250431,1.445419893,1.66708097,0.14,0.44,0.229953165,0.094544398,1.4454198942857142,1.642522607142857,0.22166107700000004,0.22166107571428584,0.02455836285714308,0.010830538,0.21083053900000004,0.2,0.21083053900000004,0.221661076,0.052308773,0.052505842,0.052505842,0.052308773,1.0,1.445419893,-2.216610762,-4.962077057,-18.453805469,1.0,1.0,1.0
varying,varying_20260913_130859,24.0,32.0,1.4,2.3,1.0,25.000003495,3.4950000014077887e-06,25.000003495,29.300076337,178.0,1.512500393,1.512500393,1.492299666,1.73270112,0.14,0.44,0.237411311,0.099229973,1.4922996691428572,1.6957950785714284,0.2404014539999999,0.24040145085714282,0.03690604142857157,0.020200726999999974,0.22020072699999993,0.2,0.22020072699999993,0.237624256,0.053235782,0.054703945,0.054703945,0.053235782,1.0,1.492299666,-2.404014536,-3.164116521,-0.36099548,1.0,1.0,1.0
varying,varying_20260913_130859,40.0,48.0,2.3,2.8,0.0,40.000004661,4.660999998407078e-06,40.000004661,44.300077503,285.0,2.300000291,2.300000291,2.237176134,2.562824449,0.14,0.44,0.355914385,0.16778276,2.237176134285714,2.5422456071428567,0.325648315,0.3256483147142859,0.020578841857143093,0.0628241570000001,0.2628241579999999,0.2,0.2628241579999999,0.304379445,0.077305399,0.078388571,0.078388571,0.077305399,1.0,2.237176134,-3.256483149,-4.338884004,-17.482300644,1.0,1.0,1.0
varying,varying_20260913_130859,40.0,48.0,2.3,2.8,0.25,40.250005132,5.1319999982979425e-06,40.250005132,44.550077974,287.0,2.315625321,2.315625321,2.153363584,2.677887057,0.14,0.44,0.34258057,0.161204352,2.1533635828571422,2.447004071428571,0.5245234729999999,0.5245234741428577,0.23088298557142917,0.16226173700000013,0.3622617359999998,0.2,0.3622617359999998,0.522836084,0.090741104,0.086807695,0.086807695,0.090741104,1.0,2.153363584,-4.0,-3.371395022,0.150430808,1.0,1.0,1.0
varying,varying_20260913_130859,40.0,48.0,2.3,2.8,0.5,40.499999716,2.840000021819833e-07,40.499999716,44.800072558,289.0,2.331249982,2.331249982,2.182230207,2.680269757,0.14,0.44,0.347172988,0.163518785,2.1822302102857143,2.479807057142857,0.4980395500000001,0.49803954671428574,0.20046269985714282,0.1490197750000002,0.3490197749999999,0.2,0.3490197749999999,0.49898286,0.090168445,0.09245975,0.09245975,0.090168445,1.0,2.182230207,-4.0,-2.579021626,3.096066379,1.0,1.0,1.0
varying,varying_20260913_130859,40.0,48.0,2.3,2.8,1.0,41.000001819,1.8189999977380467e-06,41.000001819,45.300074661,292.0,2.362500114,2.362500114,2.295988395,2.629011832,0.14,0.44,0.365270881,0.172127191,2.295988394857143,2.609077721428571,0.33302343700000003,0.3330234371428573,0.01993411057142902,0.06651171899999975,0.2665117180000003,0.2,0.2665117180000003,0.403738016,0.08882243,0.088850755,0.088850755,0.08882243,1.0,2.295988395,-3.330234368,-2.358496436,22.344653726,1.0,1.0,1.0
varying,varying_20260913_131059,8.0,16.0,0.6,1.4,0.0,7.999996062,3.937999999870101e-06,7.999996062,12.300080544,57.0,0.6,0.6,0.6,0.578997425,0.14,0.44,0.095454545,0.0208,0.5999999971428571,0.6818181785714286,-0.021002575000000023,-0.021002572142857168,-0.10282075357142861,0.0,-0.021002575000000023,0.2,-0.021002575000000023,-0.021002575,0.013574164,0.01253549,0.01253549,0.013574164,1.0,0.0,1.459335815,1.459335815,12.66127785,1.0,1.0,1.0
varying,varying_20260913_131059,8.0,16.0,0.6,1.4,0.25,8.249997061999998,2.93800000150668e-06,8.249997061999998,12.550081544,58.0,0.624999706,0.624999706,0.624999706,0.5738508,0.14,0.44,0.099431771,0.022424749,0.6249997034285714,0.7102269357142856,-0.051148905999999994,-0.05114890342857137,-0.13637613571428564,0.0,-0.051148905999999994,0.2,-0.051148905999999994,-0.038348697,0.01191574,0.011975918,0.011975918,0.01191574,1.0,0.0,0.693182365,0.693182365,5.459732458,1.0,1.0,1.0
