step,leg,target_swing_x_m,target_swing_y_m,target_body_advance_x_m,target_body_advance_y_m,actual_swing_x_m,actual_swing_y_m,body_displacement_x_m,body_displacement_y_m,swing_clearance_mean_mm,swing_clearance_max_mm,swing_force_mean,swing_force_max,swing_zero_force_fraction,landing_force_mean,max_abs_roll_deg,max_abs_pitch_deg,max_support_drift_mm,max_abs_q_error_rad,max_abs_tau_est
1,FR,0.06,0.0,0.024999999999999998,0.0,0.05115807597619049,0.001982350698412655,0.005836891063492066,0.00722333573015873,19.360569858858856,19.576138,0.0,0.0,1.0,2.636,1.1410400059039807,1.1859446563648868,10.580546489876943,0.108054161,10.90670681
2,RL,0.06,0.0,0.02777115400000001,-0.0057347180000000015,0.05011331517460321,-0.014570344190476175,0.03825620019047619,-0.013041251357142855,24.616397578,24.857772,0.0,0.0,1.0,4.031872509960159,1.1681092823433774,0.8145728941261215,8.212829302167956,0.071273685,6.920457363
3,FL,0.06,0.0,0.016716517999999937,0.005738010000000002,0.04588917430952377,-0.0028762794523809754,0.00833224878571428,0.0026546043571428553,17.064639475,17.463708,0.0,0.0,1.0,3.272,1.472089519535737,0.5561203989968727,7.539458915676696,0.095513701,9.53902626
4,RR,0.06,0.0,0.031594919000000055,0.0025076030000000006,0.05518711759523809,0.0070120182460317315,0.040516867817460306,0.007024801253968253,22.287178386,22.377425,0.0,0.0,1.0,4.372,1.3391704157420457,0.8692625178122718,6.006361842802295,0.075860262,7.538701057
5,FR,0.06,0.0,0.017924895999999954,-0.003505903000000001,0.05765108552380946,0.0005865835793650576,0.00840386596825398,-0.0003479591666666658,26.210461468000002,26.44856,0.0,0.0,1.0,3.176,0.8023968534302375,0.9227931624704315,9.52958824076646,0.091323733,9.142020226
6,RL,0.06,0.0,0.032550890000000096,-0.0025757669999999996,0.059638966555555534,-0.0032805618730159525,0.04576710932539682,-0.004149521968253968,29.305073986,29.663885,0.0,0.0,1.0,3.8685258964143427,0.7012366856290886,0.8526447364011951,7.508557482601471,0.071967483,7.11979723
7,FL,0.06,0.0,0.014550653999999996,0.0011600009999999995,0.05515026818253965,-0.006854415658730101,0.006604167841269867,-0.0029764221190476197,19.184627405999997,19.629129,0.0,0.0,1.0,3.7250996015936253,1.59567720349481,0.7851153577092811,9.854017742705297,0.078374624,7.837882996
8,RR,0.06,0.0,0.04123115899999996,0.0033599090000000008,0.07118775976190478,0.005480813896825393,0.03950893102380951,0.003180496206349207,24.712193027000005,25.048664000000002,0.0,0.0,1.0,4.681274900398407,1.714618257031151,1.2899240057011974,2.0616270091068882,0.079367518,7.879363537
