step,leg,target_swing_x_m,target_swing_y_m,target_body_advance_x_m,target_body_advance_y_m,actual_swing_x_m,actual_swing_y_m,body_displacement_x_m,body_displacement_y_m,swing_clearance_mean_mm,swing_clearance_max_mm,swing_force_mean,swing_force_max,swing_zero_force_fraction,landing_force_mean,max_abs_roll_deg,max_abs_pitch_deg,max_support_drift_mm,max_abs_q_error_rad,max_abs_tau_est
1,FR,0.06,0.0,0.024999999999999998,0.0,0.051160468825396876,0.00197674139682541,0.005842064404761902,0.007220132142857143,19.359403676676678,19.574662999999997,0.0,0.0,1.0,2.5,1.1409868354205925,1.1858340755104266,10.580265782933237,0.108014822,10.898817062
2,RL,0.06,0.0,0.024999999999999998,0.0,0.049597136952380966,-0.014863904365079394,0.03435678166666667,-0.006372386912698413,23.459395986000004,23.775881,0.0,0.0,1.0,4.083665338645418,1.354745815036441,0.8143634780520013,8.073584149382379,0.070963979,6.903938293
3,FL,0.06,0.0,0.02499999999999996,0.0,0.04560669052380953,-0.0031436030317459895,0.019602197944444448,-0.003795362150793651,17.1422313,17.536530000000003,0.0,0.0,1.0,3.488,1.553090969456121,0.49523733072847637,7.689857946336028,0.09226346,9.198692322
4,RR,0.06,0.0,0.025000000000000036,0.0,0.051695060746031835,0.001009034333333353,0.02821413980158729,0.002534544547619048,7.148956701,8.084263,0.0,0.0,1.0,3.996,2.4958830518782555,2.5430036739076094,5.530777715900257,0.115965486,11.54300499
